time_us,envelope_normalized,real,imag,doppler_hz,model
0.0,1.476427070237913,0.055231817113370996,0.3896284966017248,41.666666666666664,rayleigh
1.1291585127201567,1.6365902399260266,0.04643782795732221,0.4337344181557503,41.666666666666664,rayleigh
2.2583170254403133,1.5539046512485304,0.02050429245319957,0.4136665717180046,41.666666666666664,rayleigh
3.38747553816047,1.7891027914556312,0.020420622354233104,0.47642620611337416,41.666666666666664,rayleigh
4.516634050880627,2.192059956313958,-0.10839816096690036,0.5741234594416275,41.666666666666664,rayleigh
5.645792563600784,2.1861587352297955,-0.18269086755866934,0.5533140547107295,41.666666666666664,rayleigh
6.77495107632094,2.299081813215435,-0.19684494288098184,0.5803159018934398,41.666666666666664,rayleigh
7.904109589041097,2.3740038856479564,-0.18473170950892828,0.6051957169293758,41.666666666666664,rayleigh
9.033268101761253,2.397139739195515,-0.19449448485371762,0.6086062255780482,41.666666666666664,rayleigh
10.162426614481411,2.6976895260039795,-0.2473041561708151,0.6751696182397989,41.666666666666664,rayleigh
11.291585127201568,2.8513044498566065,-0.2758317651437645,0.7081577197175227,41.666666666666664,rayleigh
12.420743639921723,3.217276504797653,-0.3199159227100623,0.7956159050708734,41.666666666666664,rayleigh
13.54990215264188,3.158047739529958,-0.4427416327215369,0.7158944796612408,41.666666666666664,rayleigh
14.679060665362037,3.2526244305812595,-0.5122263242637719,0.6994442732403608,41.666666666666664,rayleigh
15.808219178082194,3.0131881336844097,-0.48240938871003003,0.6421035336742541,41.666666666666664,rayleigh
16.93737769080235,3.2799175897346937,-0.5938855129460023,0.6415329416595943,41.666666666666664,rayleigh
18.066536203522507,3.087099561185076,-0.5695954285878703,0.5938084672235351,41.666666666666664,rayleigh
19.195694716242663,3.3216572865894083,-0.6491152494672686,0.6020710027781829,41.666666666666664,rayleigh
20.324853228962823,3.2236690413022093,-0.6647582760587927,0.5444009553131554,41.666666666666664,rayleigh
21.45401174168298,3.0855014907069127,-0.6610832011710478,0.48919900726117777,41.666666666666664,rayleigh
22.583170254403136,2.572513949756936,-0.6473501227932116,0.2260186496339969,41.666666666666664,rayleigh
23.71232876712329,2.404330796851161,-0.571837173987223,0.28928328209942944,41.666666666666664,rayleigh
24.841487279843445,2.3620471800686658,-0.5137338255121451,0.3639261690607912,41.666666666666664,rayleigh
