model,doppler_hz,envelope_min,envelope_max,envelope_std,relative_peak_to_peak,speed_kmh,coherence_time_ms,stability_class
rayleigh,41.666666666666664,0.008949606905900307,3.3216572865894083,0.5869933265478139,3.3127076796835078,50.0,10.152,cuasiestatico
rician,41.666666666666664,0.7340558762704076,1.2548558276834723,0.10087061826475907,0.5207999514130647,50.0,10.152,cuasiestatico
rayleigh,208.33333333333334,0.14547384693691523,3.041498349754749,0.45332841664792234,2.8960245028178337,250.0,2.0303999999999998,estable_con_margen_reducido
rician,208.33333333333334,0.6941969805650046,1.23109755667011,0.10508243817741673,0.5369005761051053,250.0,2.0303999999999998,estable_con_margen_reducido
